공종,작업명,단위작업명,기인물,사고건수,단위작업명전체건수,비중(%)
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,굴착기,2,33,6.1
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,물,2,33,6.1
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,트럭,2,33,6.1
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,사다리,2,33,6.1
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,"각재(파이프,강관,합판)",1,33,3.0
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,"기타자재(내부마감재,시멘트,마대)",1,33,3.0
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,배관,1,33,3.0
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,암석,1,33,3.0
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,충전부,1,33,3.0
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,개구부(바닥개구부),1,33,3.0
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,비계,1,33,3.0
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,슬라브단부,1,33,3.0
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,철골(철골구조물),1,33,3.0
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,화학물질,1,33,3.0
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",기계설비,9,32,28.1
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반","기타자재(내부마감재,시멘트,마대)",3,32,9.4
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",사다리,3,32,9.4
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",개구부(기타개구부),2,32,6.2
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",배관,2,32,6.2
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반","지붕(채광판,선라이트)",2,32,6.2
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",트럭,2,32,6.2
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반","각재(파이프,강관,합판)",1,32,3.1
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",계단,1,32,3.1
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",고소작업대,1,32,3.1
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",굴착기,1,32,3.1
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",기타건설장비,1,32,3.1
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",기타구조물,1,32,3.1
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",이동식크레인,1,32,3.1
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",작업발판/가설계단,1,32,3.1
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반","지붕(처마,홈통)",1,32,3.1
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,토사,7,30,23.3
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,굴착기,6,30,20.0
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,기타구조물,4,30,13.3
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,슬라브단부,3,30,10.0
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,분류불능,2,30,6.7
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,"각재(파이프,강관,합판)",1,30,3.3
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,"기타자재(내부마감재,시멘트,마대)",1,30,3.3
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,로울러,1,30,3.3
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,비계,1,30,3.3
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,이동식크레인,1,30,3.3
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,작업발판/가설계단,1,30,3.3
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,콘크리트펌프카,1,30,3.3
11. 기타 토목공사,11.1 부대 토목 작업,11.1.1 부대토목 옹벽시공,트럭,1,30,3.3
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),고정식크레인,22,27,81.5
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),개구부(바닥개구부),1,27,3.7
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),"기타자재(내부마감재,시멘트,마대)",1,27,3.7
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),리프트,1,27,3.7
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),이동식크레인,1,27,3.7
12. 공통공사,12.5 양중기 작업,12.5.1 양중기(타워크레인),"철근콘크리트자재(철근,콘크리트,PC)",1,27,3.7
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,트럭,9,26,34.6
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,로울러,6,26,23.1
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,기타건설장비,5,26,19.2
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,굴착기,3,26,11.5
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,개구부(바닥개구부),1,26,3.8
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,기계설비,1,26,3.8
7. 도로 및 포장공사,7.1 포장 작업,7.1.2 포장 시공,바닥(바닥에 걸려 넘어짐),1,26,3.8
12. 공통공사,"12.6 위험기계기구 작업(장비수리, 이동 등)","12.6.1 건설기계 장비수리, 개량, 이동 등",지게차,6,25,24.0
12. 공통공사,"12.6 위험기계기구 작업(장비수리, 이동 등)","12.6.1 건설기계 장비수리, 개량, 이동 등",트럭,6,25,24.0
4. 마감공사,"4.1 조적, 미장 및 견출작업",4.1.2 조적시공,작업발판/가설계단,6,25,24.0
12. 공통공사,"12.6 위험기계기구 작업(장비수리, 이동 등)","12.6.1 건설기계 장비수리, 개량, 이동 등",이동식크레인,5,25,20.0
4. 마감공사,"4.1 조적, 미장 및 견출작업",4.1.2 조적시공,비계,4,25,16.0
4. 마감공사,"4.1 조적, 미장 및 견출작업",4.1.2 조적시공,이동식비계,4,25,16.0
12. 공통공사,"12.6 위험기계기구 작업(장비수리, 이동 등)","12.6.1 건설기계 장비수리, 개량, 이동 등",굴착기,3,25,12.0
12. 공통공사,"12.6 위험기계기구 작업(장비수리, 이동 등)","12.6.1 건설기계 장비수리, 개량, 이동 등",교통수단,2,25,8.0
4. 마감공사,"4.1 조적, 미장 및 견출작업",4.1.2 조적시공,"기타자재(내부마감재,시멘트,마대)",2,25,8.0
4. 마감공사,"4.1 조적, 미장 및 견출작업",4.1.2 조적시공,벽체,2,25,8.0
12. 공통공사,"12.6 위험기계기구 작업(장비수리, 이동 등)","12.6.1 건설기계 장비수리, 개량, 이동 등",기타구조물,1,25,4.0
12. 공통공사,"12.6 위험기계기구 작업(장비수리, 이동 등)","12.6.1 건설기계 장비수리, 개량, 이동 등","기타자재(내부마감재,시멘트,마대)",1,25,4.0
12. 공통공사,"12.6 위험기계기구 작업(장비수리, 이동 등)","12.6.1 건설기계 장비수리, 개량, 이동 등",엘리베이터피트,1,25,4.0
