공종,작업명,단위작업명,기인물,재해형태,사고건수,단위작업명전체건수,비중(%),기인물 분류(VlookUp),구분(12대 기인물 = 중점관리대상),위험도 순위 (~12위),3년간 사고비중(19~21년)
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",굴착기,맞음(낙하물체),1,41,2.4,건설기계,12대 기인물,5,4.9%
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",철골(철골구조물),떨어짐,1,41,2.4,건설자재,12대 기인물,2,8.5%
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",철골(철골자재),맞음,1,41,2.4,건설자재,12대 기인물,2,8.5%
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",고소작업대,떨어짐,1,41,2.4,고소작업대,12대 기인물,6,4.9%
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",기타구조물,떨어짐,1,41,2.4,기타구조물,해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",비계,떨어짐,1,41,2.4,비계,12대 기인물,4,6.9%
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",작업발판/가설계단,떨어짐,1,41,2.4,작업발판/가설계단,12대 기인물,4,6.9%
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",전주,깔림 뒤집힘,1,41,2.4,전기,해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.1 전기 설비 작업,"5.1.4 전기특고압선로, 활선 및 전주시공",전주,맞음,1,41,2.4,전기,해당없음,해당없음,해당없음
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,토사,무너짐,18,33,54.5,토사,해당없음,해당없음,해당없음
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,개구부(기타개구부),떨어짐,8,33,24.2,개구부,12대 기인물,1,9.0%
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,고소작업대,떨어짐,7,33,21.2,고소작업대,12대 기인물,6,4.9%
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,벽체,무너짐,4,33,12.1,벽체,해당없음,해당없음,해당없음
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,벽체,떨어짐,4,33,12.1,벽체,해당없음,해당없음,해당없음
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,달비계,떨어짐,3,33,9.1,비계,12대 기인물,8,3.7%
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,작업발판/가설계단,떨어짐,3,33,9.1,작업발판/가설계단,12대 기인물,4,6.9%
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,트럭,끼임,2,33,6.1,건설기계,12대 기인물,9,3.4%
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,사다리,떨어짐,2,33,6.1,사다리,12대 기인물,4,6.9%
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,"각재(파이프,강관,합판)",깔림 뒤집힘,1,33,3.0,"각재(파이프,강관,합판)",해당없음,해당없음,해당없음
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,굴착기,깔림 뒤집힘,1,33,3.0,건설기계,12대 기인물,5,4.9%
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,굴착기,부딪힘 접촉,1,33,3.0,건설기계,12대 기인물,5,4.9%
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,"기타자재(내부마감재,시멘트,마대)",깔림 뒤집힘,1,33,3.0,"기타자재(내부마감재,시멘트,마대)",해당없음,해당없음,해당없음
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,물,떨어짐,1,33,3.0,물,해당없음,해당없음,해당없음
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,물,맞음,1,33,3.0,물,해당없음,해당없음,해당없음
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,배관,깔림 뒤집힘,1,33,3.0,배관,해당없음,해당없음,해당없음
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,암석,무너짐,1,33,3.0,암석,해당없음,해당없음,해당없음
11. 기타 토목공사,11.4 맨홀 및 관부설작업,11.4.1 맨홀 및 관부설 굴착,충전부,감전,1,33,3.0,전기,해당없음,해당없음,해당없음
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,개구부(바닥개구부),떨어짐,1,33,3.0,개구부,12대 기인물,1,9.0%
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,철골(철골구조물),떨어짐,1,33,3.0,건설자재,12대 기인물,2,8.5%
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,고소작업대,부딪힘 접촉,1,33,3.0,고소작업대,12대 기인물,6,4.9%
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,비계,떨어짐,1,33,3.0,비계,12대 기인물,4,6.9%
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,슬라브단부,떨어짐,1,33,3.0,슬라브단부,해당없음,해당없음,해당없음
4. 마감공사,4.6 창호 및 유리 작업,4.6.2 창호 및 유리 설치,화학물질,떨어짐,1,33,3.0,화학물질,해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",기계설비,깔림 뒤집힘,3,32,9.4,기계설비,해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",사다리,떨어짐,3,32,9.4,사다리,12대 기인물,4,6.9%
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",개구부(기타개구부),떨어짐,2,32,6.2,개구부,12대 기인물,1,9.0%
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",트럭,부딪힘 접촉,2,32,6.2,건설기계,12대 기인물,9,3.4%
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",기계설비,떨어짐,2,32,6.2,기계설비,해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",기계설비,부딪힘 접촉,2,32,6.2,기계설비,해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반","지붕(채광판,선라이트)",떨어짐,2,32,6.2,마감재,12대 기인물,3,7.1%
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",배관,깔림 뒤집힘,2,32,6.2,배관,해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반","각재(파이프,강관,합판)",떨어짐,1,32,3.1,"각재(파이프,강관,합판)",해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",굴착기,끼임,1,32,3.1,건설기계,12대 기인물,5,4.9%
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",기타건설장비,떨어짐,1,32,3.1,건설기계,해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",이동식크레인,떨어짐,1,32,3.1,건설기계,12대 기인물,12,2.3%
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",계단,떨어짐,1,32,3.1,계단,해당없음,해당없음,해당없음
"5. 전기, 기계설비공사",5.2 기계설비 작업,"5.2.1 기계설비 자재반입, 가공, 운반",고소작업대,맞음(낙하물체),1,32,3.1,고소작업대,12대 기인물,6,4.9%
